Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2023-08-15,50.0,50.0,50.0,50.0,50.0,0,3K-BAT.BK
2023-08-16,49.5,49.5,49.5,49.5,49.5,200,3K-BAT.BK
2023-08-17,49.5,49.5,49.5,49.5,49.5,0,3K-BAT.BK
2023-08-18,49.5,49.5,49.5,49.5,49.5,0,3K-BAT.BK
2023-08-21,50.0,50.0,50.0,50.0,50.0,300,3K-BAT.BK
2023-08-22,50.0,50.0,50.0,50.0,50.0,0,3K-BAT.BK
2023-08-23,55.0,55.0,55.0,55.0,55.0,100,3K-BAT.BK
2023-08-24,50.0,50.0,50.0,50.0,50.0,800,3K-BAT.BK
2023-08-25,50.0,50.0,50.0,50.0,50.0,100,3K-BAT.BK
2023-08-28,50.0,50.0,50.0,50.0,50.0,0,3K-BAT.BK
2023-08-29,50.0,50.0,50.0,50.0,50.0,100,3K-BAT.BK
2023-08-30,50.0,50.0,50.0,50.0,50.0,0,3K-BAT.BK
2023-08-31,50.0,50.0,50.0,50.0,50.0,0,3K-BAT.BK
2023-09-01,50.0,50.0,50.0,50.0,50.0,100,3K-BAT.BK
2023-09-04,49.75,51.0,49.75,51.0,51.0,300,3K-BAT.BK
2023-09-05,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-06,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-07,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-08,51.0,51.0,51.0,51.0,51.0,100,3K-BAT.BK
2023-09-11,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-12,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-13,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-14,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
2023-09-15,51.0,51.0,51.0,51.0,51.0,0,3K-BAT.BK
